fq_name,count
kotlinx.android.synthetic.main.host_activity,2
kotlinx.android.synthetic.main.main_activity,5
kotlinx.android.synthetic.main.mvvm_activity,2
kotlinx.android.synthetic.main.scoped_activity_a,2
kotlinx.android.synthetic.main.scoped_activity_b,2
android.os.Parcelable,295
org.jetbrains.anko.clearTask,2
org.jetbrains.anko.clearTop,2
org.jetbrains.anko.intentFor,2
org.jetbrains.anko.newTask,2
android.widget.Button,100
androidx.work.CoroutineWorker,38
androidx.work.Data,26
kotlinx.coroutines.channels.Channel,137
androidx.work,15
kotlinx.android.synthetic.main.workmanager_activity,2
androidx.work.await,2
androidx.arch.core.executor.testing.InstantTaskExecutorRule,171
com.github.jengelman.gradle.plugins.shadow.tasks.ShadowJar,36
io.ktor.client,22
io.ktor.client.engine.jetty,2
org.apache.commons.io.FilenameUtils,36
space.jetbrains.api.runtime,4
space.jetbrains.api.runtime.resources.projects,4
space.jetbrains.api.runtime.types,4
kotlin.collections.ArrayList,44
androidx.compose.runtime.Composable,1500
kotlinx.browser.document,519
org.w3c.css.masking.SVGClipPathElement,3
org.w3c.css.masking.SVGMaskElement,3
org.w3c.dom.Element,102
org.w3c.dom.svg,8
org.w3c.dom.svg.SVGCircleElement,2
org.w3c.dom.svg.SVGElement,15
org.w3c.dom.svg.SVGTextElement,2
org.w3c.dom.css.CSS,4
org.w3c.dom.css.CSSRule,4
org.w3c.dom.css.CSSRuleList,2
androidx.compose.runtime.mutableStateListOf,17
org.w3c.dom.events.Event,66
org.w3c.dom.events.EventTarget,32
org.w3c.dom.events.FocusEvent,5
org.w3c.dom.DataTransfer,7
org.w3c.dom.DragEvent,10
org.w3c.dom.HTMLElement,164
org.w3c.dom.events.MouseEvent,61
org.w3c.dom.events.WheelEvent,6
org.w3c.dom.TouchEvent,6
org.w3c.dom.TouchList,2
org.w3c.dom.events.KeyboardEvent,15
org.w3c.dom.clipboard.ClipboardEvent,5
androidx.compose.runtime,131
org.w3c.dom.css.ElementCSSInlineStyle,2
org.w3c.dom.css.CSSGroupingRule,2
org.w3c.dom.css.CSSStyleDeclaration,8
org.w3c.dom.css.CSSStyleRule,2
org.w3c.dom.css.CSSStyleSheet,9
org.w3c.dom.HTMLAnchorElement,6
org.w3c.dom.HTMLAreaElement,2
org.w3c.dom.HTMLAudioElement,2
org.w3c.dom.HTMLBRElement,2
org.w3c.dom.HTMLButtonElement,29
org.w3c.dom.HTMLCanvasElement,23
org.w3c.dom.HTMLDataListElement,2
org.w3c.dom.HTMLDListElement,2
org.w3c.dom.HTMLDivElement,55
org.w3c.dom.HTMLEmbedElement,2
org.w3c.dom.HTMLFieldSetElement,4
org.w3c.dom.HTMLFormElement,6
org.w3c.dom.HTMLHRElement,2
org.w3c.dom.HTMLHeadingElement,2
org.w3c.dom.HTMLIFrameElement,5
org.w3c.dom.HTMLImageElement,10
org.w3c.dom.HTMLInputElement,47
org.w3c.dom.HTMLLIElement,2
org.w3c.dom.HTMLLabelElement,7
org.w3c.dom.HTMLLegendElement,2
org.w3c.dom.HTMLMapElement,2
org.w3c.dom.HTMLMeterElement,2
org.w3c.dom.HTMLOListElement,2
org.w3c.dom.HTMLObjectElement,2
org.w3c.dom.HTMLOptGroupElement,4
org.w3c.dom.HTMLOptionElement,6
org.w3c.dom.HTMLOutputElement,2
org.w3c.dom.HTMLParagraphElement,8
org.w3c.dom.HTMLParamElement,2
org.w3c.dom.HTMLPictureElement,2
org.w3c.dom.HTMLPreElement,2
org.w3c.dom.HTMLProgressElement,2
org.w3c.dom.HTMLSelectElement,14
org.w3c.dom.HTMLSourceElement,2
org.w3c.dom.HTMLSpanElement,7
org.w3c.dom.HTMLStyleElement,7
org.w3c.dom.HTMLTableCaptionElement,2
org.w3c.dom.HTMLTableCellElement,4
org.w3c.dom.HTMLTableColElement,4
org.w3c.dom.HTMLTableElement,2
org.w3c.dom.HTMLTableRowElement,3
org.w3c.dom.HTMLTableSectionElement,2
org.w3c.dom.HTMLTextAreaElement,26
org.w3c.dom.HTMLTrackElement,2
org.w3c.dom.HTMLUListElement,8
org.w3c.dom.HTMLVideoElement,6
org.w3c.dom.Text,8
androidx.compose.runtime.ComposeCompilerApi,2
androidx.compose.runtime.DisposableEffect,37
androidx.compose.runtime.DisposableEffectResult,4
androidx.compose.runtime.DisposableEffectScope,8
androidx.compose.runtime.NonRestartableComposable,6
androidx.compose.runtime.RememberObserver,6
androidx.compose.runtime.SideEffect,14
androidx.compose.runtime.currentComposer,8
androidx.compose.runtime.remember,351
org.w3c.dom.events,16
org.w3c.dom.get,54
kotlin.test.assertContentEquals,35
org.w3c.dom,73
org.w3c.dom.css,2
org.w3c.dom.events.InputEvent,2
kotlin.test.assertSame,62
androidx.compose.runtime.mutableStateOf,424
androidx.compose.runtime.getValue,449
androidx.compose.runtime.setValue,311
kotlinx.dom.clear,35
kotlin.test.assertContains,13
kotlinx.browser.window,160
org.w3c.dom.css.get,2
androidx.compose.runtime.RecomposeScope,4
androidx.compose.runtime.currentRecomposeScope,4
androidx.compose.ui.unit.Dp,100
androidx.compose.ui.unit.TextUnit,13
androidx.compose.ui.unit.em,6
androidx.compose.ui.unit.sp,134
androidx.compose.foundation.layout.Box,264
androidx.compose.foundation.layout.Row,238
androidx.compose.ui.graphics.Shape,26
androidx.compose.foundation.shape.CircleShape,91
androidx.compose.material.Text,471
androidx.compose.material.Button,52
androidx.compose.foundation.layout.Column,299
androidx.compose.material.Slider,18
androidx.compose.ui.graphics.Color,429
androidx.compose.ui.Modifier,1054
androidx.compose.ui.draw.clip,154
androidx.compose.foundation.layout.size,184
androidx.compose.foundation.layout.width,114
androidx.compose.foundation.border,41
androidx.compose.foundation.layout.offset,24
androidx.compose.foundation.clickable,237
androidx.compose.foundation.layout.fillMaxWidth,256
androidx.compose.foundation.layout.fillMaxHeight,64
androidx.compose.ui.layout.onSizeChanged,9
androidx.compose.foundation.background,271
androidx.compose.foundation.layout.padding,421
androidx.compose.ui.Alignment,433
androidx.compose.foundation.layout.Arrangement,76
org.jetbrains.kotlin.gradle.targets.js.testing.karma.KotlinKarma,2
org.gradle.api,115
org.gradle.nativeplatform.platform.internal.DefaultNativePlatform,7
androidx.compose.runtime.MonotonicFrameClock,6
kotlinx.coroutines.CoroutineScope,573
kotlinx.coroutines.MainScope,52
kotlinx.coroutines.promise,21
org.w3c.dom.MutationObserver,4
org.w3c.dom.MutationObserverInit,4
org.w3c.dom.asList,14
kotlin.coroutines.Continuation,63
kotlin.coroutines.resume,139
kotlin.coroutines.suspendCoroutine,76
kotlin.time.ExperimentalTime,75
kotlin.time.toDuration,18
kotlinx.coroutines.delay,394
kotlinx.coroutines.flow.Flow,550
kotlinx.coroutines.flow.flow,150
kotlinx.coroutines.flow.toList,68
kotlin.time.Duration,97
org.gradle.api.tasks.testing.AbstractTestTask,4
org.gradle.api.tasks.testing.logging.TestExceptionFormat,29
org.jetbrains.kotlin.gradle.dsl.kotlinExtension,3
org.jetbrains.kotlin.gradle.plugin.mpp.pm20.targets,2
androidx.compose.runtime.MutableState,44
androidx.compose.runtime.State,27
androidx.compose.runtime.derivedStateOf,8
org.w3c.dom.url.URLSearchParams,11
io.ktor.http.content.default,2
io.ktor.http.content.files,2
io.ktor.http.content.static,4
io.ktor.http.content.staticRootFolder,3
io.ktor.routing.routing,7
io.ktor.server.engine.ApplicationEngine,2
io.ktor.server.engine.embeddedServer,10
io.ktor.server.netty.Netty,7
org.junit.jupiter.api.DisplayNameGeneration,2
