,project_name,ext,count
661,hack4impact#flask-base,.sh,1
662,hack4impact#flask-base,,16
663,hack4impact#flask-base,.json,1
664,hack4impact#flask-base,.js,133
665,hack4impact#flask-base,.scss,1
666,hack4impact#flask-base,.css,16
667,hack4impact#flask-base,.html,28
668,hack4impact#flask-base,.eot,3
669,hack4impact#flask-base,.ttf,3
670,hack4impact#flask-base,.otf,1
671,hack4impact#flask-base,.woff,3
672,hack4impact#flask-base,.woff2,3
673,hack4impact#flask-base,.svg,3
674,hack4impact#flask-base,.png,25
675,hack4impact#flask-base,.sample,12
676,hack4impact#flask-base,.idx,1
677,hack4impact#flask-base,.pack,1
678,hack4impact#flask-base,.gif,6
679,mbi#django-simple-captcha,.cfg,1
680,mbi#django-simple-captcha,.ini,1
681,mbi#django-simple-captcha,,18
682,mbi#django-simple-captcha,.rst,5
683,mbi#django-simple-captcha,.in,1
684,mbi#django-simple-captcha,.py,28
685,mbi#django-simple-captcha,.sample,12
686,mbi#django-simple-captcha,.pack,1
687,mbi#django-simple-captcha,.idx,1
688,mbi#django-simple-captcha,.ttf,1
689,mbi#django-simple-captcha,.TXT,2
690,mbi#django-simple-captcha,.html,9
691,mbi#django-simple-captcha,.po,19
692,mbi#django-simple-captcha,.mo,19
693,mbi#django-simple-captcha,.sh,1
694,mbi#django-simple-captcha,.png,4
695,mbi#django-simple-captcha,.yml,1
